TDNTuple3Agt: USESYM:true; P:4; NORMALIZE:false; sigmoid:tanh; lambda:0.5; horizon:7; AFTERSTATE:false; learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2; epsilon_init->final:0.2->0.2; gamma: 1.0; random 50 6-tuple
run; gameNum; evalQ; evalT; actionNum; trnMoves; elapsedTime; movesSecond;P ; N
0; 186000; 1.0; 1.0; 9157625; 11117769; 4063.898; 2253.4091652890893; 3; 0.0
0; 188000; 0.8; 0.8; 9256061; 11237301; 4121.59; 2245.750062475889; 3; 0.0
0; 190000; 1.0; 1.0; 9354244; 11356829; 4182.574; 2236.480215293262; 3; 0.0
0; 192000; -0.30000000000000004; -0.19999999999999996; 9452975; 11476486; 4240.58; 2229.1703021756457; 3; 0.0
0; 194000; 0.5; 0.7; 9551601; 11596170; 4300.679; 2220.9518543467207; 3; 0.0
0; 196000; 1.0; 1.0; 9650287; 11715988; 4360.571; 2213.07874587984; 3; 0.0
0; 198000; 0.8; 1.0; 9748759; 11835666; 4419.502; 2205.8501161443073; 3; 0.0
0; 200000; 1.0; 1.0; 9847276; 11955382; 4481.464; 2197.334621007778; 3; 0.0
1; 2000; -0.9; -0.9; 97766; 118721; 58.614; 1667.9632852219606; 3; 0.0
1; 4000; -1.0; -0.95; 196148; 238162; 116.948; 1677.2240653965866; 3; 0.0
1; 6000; -0.55; -0.39999999999999997; 294606; 357404; 175.314; 1680.4476539238167; 3; 0.0
1; 8000; -0.4; -0.49999999999999994; 392805; 476785; 233.762; 1680.362933239791; 3; 0.0
1; 10000; -0.5; -0.29999999999999993; 490571; 595586; 295.253; 1661.527571269386; 3; 0.0
1; 12000; -0.15; -0.20000000000000007; 588508; 714771; 355.816; 1653.9672190120739; 3; 0.0
1; 14000; 0.30000000000000004; 0.10000000000000006; 686961; 834224; 415.133; 1654.7973781896405; 3; 0.0
1; 16000; 0.24999999999999997; 0.6000000000000001; 785496; 953533; 479.389; 1638.5357194261862; 3; 0.0
1; 18000; 0.7000000000000001; 0.8; 882840; 1071859; 538.103; 1640.6524401462175; 3; 0.0
1; 20000; 0.6000000000000001; 0.8; 979785; 1189805; 598.213; 1637.8530724006332; 3; 0.0
1; 22000; 0.30000000000000004; 0.55; 1078182; 1309369; 658.93; 1636.2618184025619; 3; 0.0
1; 24000; 0.19999999999999996; 0.20000000000000007; 1176146; 1428511; 717.618; 1638.9583315914595; 3; 0.0
1; 26000; 0.95; 1.0; 1274488; 1547815; 779.218; 1635.5987669689357; 3; 0.0
1; 28000; 0.19999999999999998; 0.6; 1372111; 1666242; 828.28; 1656.5786931955379; 3; 0.0
1; 30000; 0.6; 0.6000000000000001; 1470174; 1785622; 872.158; 1685.6739260546826; 3; 0.0
1; 32000; 0.8; 0.75; 1568275; 1904694; 919.754; 1705.1026687570807; 3; 0.0
1; 34000; 0.55; 0.7000000000000001; 1665397; 2022947; 968.764; 1719.0946401806839; 3; 0.0
1; 36000; 1.0; 1.0; 1763322; 2141745; 1014.14; 1738.7362691541603; 3; 0.0
1; 38000; 1.0; 0.8500000000000001; 1861624; 2260939; 1063.285; 1750.8231565384633; 3; 0.0
1; 40000; 0.7; 0.6000000000000001; 1959444; 2379805; 1109.046; 1766.7833435222703; 3; 0.0
1; 42000; 1.0; 1.0; 2057455; 2498897; 1152.814; 1784.7241619203096; 3; 0.0
1; 44000; 1.0; 0.7000000000000001; 2155283; 2617783; 1203.405; 1790.9872403721108; 3; 0.0
1; 46000; 0.9; 1.0; 2253116; 2736535; 1252.555; 1798.8160200550076; 3; 0.0
1; 48000; 0.7; 0.30000000000000004; 2350801; 2854816; 1294.266; 1816.3198291541305; 3; 0.0
1; 50000; 0.9; 1.0; 2449065; 2974225; 1335.993; 1833.142089816339; 3; 0.0
1; 52000; 1.0; 1.0; 2547226; 3093630; 1379.195; 1846.8932964519158; 3; 0.0
1; 54000; 3; 0.0; 2645491; 3212886; 1421.599; 1860.9263231051796; 3; 0.0
1; 56000; 3; 0.0; 2743913; 3332349; 1463.9; 1874.3855454607553; 3; 0.0
1; 58000; 1.0; 1.0; 2841101; 3450497; 1505.606; 1887.0149295366782; 3; 0.0
1; 60000; 0.6; 0.5; 2938582; 3569093; 1549.335; 1896.6730887767978; 3; 0.0
1; 62000; 0.5; 0.6; 3036819; 3688040; 1591.182; 1908.5302624086999; 3; 0.0
1; 64000; 1.0; 1.0; 3135606; 3807740; 1633.412; 1919.6663181120257; 3; 0.0
1; 66000; 1.0; 1.0; 3233981; 3927230; 1675.601; 1930.042414632123; 3; 0.0
1; 68000; 1.0; 1.0; 3332326; 4046685; 1718.654; 1938.9161518257893; 3; 0.0
1; 70000; 1.0; 1.0; 3430638; 4166028; 1760.693; 1948.458930659689; 3; 0.0
1; 72000; 1.0; 1.0; 3528522; 4284648; 1802.732; 1957.319224377223; 3; 0.0
1; 74000; 1.0; 1.0; 3626828; 4403617; 1845.716; 1964.9978653270603; 3; 0.0
1; 76000; 0.5; 0.9; 3725050; 4522747; 1888.104; 1972.905094210912; 3; 0.0
1; 78000; 1.0; 1.0; 3823300; 4642248; 1929.996; 1980.9885616343245; 3; 0.0
1; 80000; 0.9; 1.0; 3922120; 4761982; 1971.949; 1988.9561038343284; 3; 0.0
1; 82000; 1.0; 1.0; 4020650; 4881662; 2017.182; 1993.201406714912; 3; 0.0
1; 84000; 0.4; 0.30000000000000004; 4118906; 5000830; 2059.583; 1999.8737608535318; 3; 0.0
1; 86000; 0.10000000000000006; 0.4; 4217042; 5120301; 2101.11; 2007.0543665015157; 3; 0.0
1; 88000; 1.0; 1.0; 4315175; 5239905; 2143.174; 2013.4506111029716; 3; 0.0
