controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
11, 80000, 0.3333333333333333, 0.5833333333333333, 0.0, 2034726, 937363
11, 85000, 1.0, 0.5833333333333333, 0.0, 2143736, 986868
11, 90000, 0.6666666666666666, 0.6666666666666666, 0.0, 2245734, 1032867
11, 95000, 0.3333333333333333, 0.5, 0.0, 2346922, 1078461
11, 100000, 0.3333333333333333, 0.25, 0.0, 2450766, 1125383
12, 5000, 0.6666666666666666, 0.3333333333333333, 0.0, 139738, 64869
12, 10000, 0.3333333333333333, 0.25, 0.0, 279282, 129641
12, 15000, 0.0, 0.0, 0.0, 418692, 194346
12, 20000, 0.3333333333333333, 0.25, 0.0, 558822, 259411
12, 25000, 0.6666666666666666, 0.25, 0.0, 698338, 324169
12, 30000, 1.0, 0.25, 0.0, 834804, 387402
12, 35000, 0.0, 0.25, 0.0, 967934, 448967
12, 40000, 0.0, 0.16666666666666666, 0.0, 1097978, 508989
12, 45000, 0.3333333333333333, 0.41666666666666663, 0.0, 1225610, 567805
12, 50000, 0.6666666666666666, 0.25, 0.0, 1349730, 624865
12, 55000, 0.6666666666666666, 0.41666666666666663, 0.0, 1471788, 680894
12, 60000, 0.0, 0.25, 0.0, 1590872, 735436
12, 65000, 0.0, 0.08333333333333333, 0.0, 1707218, 788609
12, 70000, 1.0, 0.41666666666666663, 0.0, 1821904, 840952
12, 75000, 1.0, 0.7499999999999999, 0.0, 1933792, 891896
12, 80000, 0.3333333333333333, 0.75, 0.0, 2041488, 940744
12, 85000, 0.6666666666666666, 0.6666666666666666, 0.0, 2147462, 988731
12, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 2252312, 1036156
12, 95000, 1.0, 0.8333333333333334, 0.0, 2355934, 1082967
12, 100000, 1.0, 0.75, 0.0, 2461478, 1130739
13, 5000, 1.0, 0.3333333333333333, 0.0, 139944, 64972
13, 10000, 0.0, 0.16666666666666666, 0.0, 279678, 129839
13, 15000, 0.6666666666666666, 0.16666666666666666, 0.0, 419204, 194602
13, 20000, 0.6666666666666666, 0.25, 0.0, 559322, 259661
13, 25000, 0.3333333333333333, 0.08333333333333333, 0.0, 699096, 324548
13, 30000, 0.0, 0.08333333333333333, 0.0, 835492, 387746
13, 35000, 0.0, 0.0, 0.0, 968724, 449362
13, 40000, 0.0, 0.0, 0.0, 1097698, 508849
13, 45000, 0.6666666666666666, 0.08333333333333333, 0.0, 1224322, 567161
13, 50000, 0.0, 0.25, 0.0, 1346956, 623478
13, 55000, 0.0, 0.16666666666666666, 0.0, 1466092, 678046
13, 60000, 0.3333333333333333, 0.3333333333333333, 0.0, 1582480, 731240
13, 65000, 0.0, 0.3333333333333333, 0.0, 1695278, 782639
13, 70000, 1.0, 0.5833333333333334, 0.0, 1806164, 833082
13, 75000, 0.6666666666666666, 0.6666666666666666, 0.0, 1915072, 882536
13, 80000, 1.0, 0.8333333333333333, 0.0, 2021442, 930721
13, 85000, 1.0, 0.5833333333333333, 0.0, 2124838, 977419
13, 90000, 1.0, 0.5833333333333333, 0.0, 2227070, 1023535
13, 95000, 0.6666666666666666, 0.9166666666666666, 0.0, 2321532, 1065766
13, 100000, 1.0, 0.7499999999999999, 0.0, 2413132, 1106566
14, 5000, 0.0, 0.0, 0.0, 139334, 64667
14, 10000, 0.3333333333333333, 0.16666666666666666, 0.0, 279398, 129699
14, 15000, 1.0, 0.08333333333333333, 0.0, 418690, 194345
14, 20000, 0.6666666666666666, 0.0, 0.0, 557988, 258994
14, 25000, 0.0, 0.16666666666666666, 0.0, 697772, 323886
14, 30000, 0.3333333333333333, 0.08333333333333333, 0.0, 833872, 386936
14, 35000, 0.0, 0.08333333333333333, 0.0, 967134, 448567
14, 40000, 0.0, 0.0, 0.0, 1096524, 508262
14, 45000, 0.0, 0.16666666666666666, 0.0, 1222852, 566426
14, 50000, 0.3333333333333333, 0.16666666666666666, 0.0, 1347384, 623692
14, 55000, 0.0, 0.0, 0.0, 1469102, 679551
14, 60000, 0.3333333333333333, 0.16666666666666666, 0.0, 1587250, 733625
14, 65000, 0.3333333333333333, 0.08333333333333333, 0.0, 1702282, 786141
14, 70000, 0.3333333333333333, 0.16666666666666666, 0.0, 1815494, 837747
14, 75000, 0.3333333333333333, 0.08333333333333333, 0.0, 1926410, 888205
14, 80000, 1.0, 0.5833333333333333, 0.0, 2035854, 937927
14, 85000, 0.3333333333333333, 0.3333333333333333, 0.0, 2142698, 986349
14, 90000, 0.6666666666666666, 0.6666666666666666, 0.0, 2246874, 1033437
14, 95000, 0.6666666666666666, 0.6666666666666666, 0.0, 2352258, 1081129
14, 100000, 1.0, 0.5, 0.0, 2457328, 1128664
15, 5000, 1.0, 0.0, 0.0, 139360, 64680
15, 10000, 0.6666666666666666, 0.16666666666666666, 0.0, 279340, 129670
15, 15000, 0.0, 0.41666666666666663, 0.0, 419002, 194501
15, 20000, 0.0, 0.25, 0.0, 558346, 259173
15, 25000, 0.3333333333333333, 0.16666666666666666, 0.0, 698452, 324226
